name,address
슬기약국,"서울특별시 성북구 화랑로 245, 1층 104-2호 (장위동)"
혜중약국,"서울특별시 동대문구 이문로 186, 1층 (이문동)"
장수약국,"서울특별시 강북구 삼양로 441, 은행빌딩 (수유동)"
바로약국,"서울특별시 도봉구 도봉로136다길 26-1, 1층 (창동)"
참약사삼흥약국,"서울특별시 중랑구 망우로 463, 1층 103호 (망우동)"
이룸약국,"서울특별시 송파구 중대로 118, 에이치빌딩 103호 (가락동)"
열방약국,"서울특별시 노원구 동일로 1622, 유성상가 1층 (상계동)"
수서세종약국,"서울특별시 강남구 광평로51길 6-11, 문암빌딩 2층 (수서동)"
하나약국,"서울특별시 은평구 진관3로 20, (진관동)"
365미소약국,"서울특별시 은평구 진관3로 11, 1층 (진관동, 은평뉴타운 힐데스하임)"
서울대림약국,"서울특별시 영등포구 시흥대로 663, (대림동)"
다정약국,"서울특별시 강서구 강서로 189, 101호 (화곡동)"
후문약국,"서울특별시 관악구 남부순환로186길 12, 지하1층 (신림동)"
365열린약국,"서울특별시 관악구 남부순환로 1615, (신림동)"
대치라벤더약국,"서울특별시 강남구 남부순환로 2947, 재경빌딩 6층 601호 (대치동)"
참사랑이화약국,"서울특별시 마포구 연남로 42, 상가B동 117호 (연남동, 코오롱하늘채아파트)"
소명약국,"서울특별시 노원구 동일로250길 17, 108호 (상계동, 은빛3단지아파트)"
송약국,"서울특별시 양천구 오목로 325, 지하1층 (목동)"
선사약국,"서울특별시 강동구 올림픽로 800, (암사동)"
마프자서울약국,"서울특별시 마포구 대흥로24길 24, 상가A동 206호 (염리동)"
정감약국,"서울특별시 강동구 올림픽로 653, 우장빌딩 1층 109호 (천호동)"
강동프라자약국,"서울특별시 강동구 올림픽로 624, 강동메디컬센터 1층 (성내동)"
유약국,"서울특별시 강서구 화곡로 329, 101호 (화곡동)"
연세약국,"서울특별시 강서구 화곡로 161, 대성빌딩 104,105호 (화곡동)"
마포온누리약국,"서울특별시 마포구 큰우물로 76, 고려빌딩 101호 (도화동)"
강남미소약국,"서울특별시 강남구 논현로86길 22, 1층 (역삼동)"
봉천당약국,"서울특별시 관악구 봉천로 518, (봉천동)"
본약국,"서울특별시 동대문구 전농로 212, 1층 (전농동)"
새경희약국,"서울특별시 동대문구 경희대로1가길 27, (회기동)"
경희온누리약국,"서울특별시 동대문구 경희대로1가길 32, (회기동)"
혜민약국,"서울특별시 강북구 솔샘로67길 118, 1층 (미아동)"
하나로약국,"서울특별시 도봉구 마들로11길 20, 1층 (창동, 농협창동유통센타)"
굿모닝약국,"서울특별시 마포구 월드컵북로 361, 102호 (상암동, 디엠씨이안 상암2단지)"
한강약국,"서울특별시 영등포구 버드나루로7길 7, (영등포동2가)"
호원엠약국,"서울특별시 강동구 성내로 66, 채원빌딩 (성내동)"
웰빙메디칼약국,"서울특별시 강북구 도봉로 187, (미아동)"
초록약국,"서울특별시 송파구 올림픽로37길 130, 파크리오 A상가동 307호 (신천동)"
제일약국,"서울특별시 양천구 목동중앙남로11길 4, (목동)"
행복한약국,"서울특별시 양천구 중앙로 275, (신정동)"
휴베이스 동아약국,"서울특별시 관악구 봉천로 576, 1층 106호 (봉천동, 동아타운아파트)"
가람약국,"서울특별시 은평구 통일로 1030, 은평헤스티아 1,2층 101, 201호호 (진관동)"
스마일약국,"서울특별시 서초구 동작대로 132, 지하2층 (방배동, 안석빌딩)"
그랜드약국,"서울특별시 광진구 아차산로29길 55, (화양동)"
서울종로약국,"서울특별시 종로구 대학로 117, (명륜4가)"
뉴타운약국,"서울특별시 강북구 삼양로27길 43, 2층 201,202호 (미아동, 위브 테라스 파크)"
청실약국,"서울특별시 중구 무교로 15, 1층 (무교동, 남강건설회관빌딩)"
신우당약국,"서울특별시 동대문구 약령동길 84, 1층 (제기동)"
누가약국,"서울특별시 강북구 솔샘로 254, (미아동)"
동문약국,"서울특별시 노원구 공릉로59나길 78-10, (하계동)"
참성심약국,"서울특별시 관악구 남부순환로 1862, (봉천동)"
메디슨약국,"서울특별시 송파구 송이로 111, (가락동, 청석빌딩 1층)"
푸른약국,"서울특별시 관악구 난곡로 351, (신림동)"
금성약국,"서울특별시 광진구 자양로 112, 111호,112호,113호 (구의동)"
무지개약국,"서울특별시 양천구 등촌로 214, (목동)"
봄내약국,"서울특별시 관악구 신림동5길 31, 1층 (신림동)"
까치프라자약국,"서울특별시 강서구 강서로 52, 104,105호 (화곡동, 화곡판타지아빌딩)"
청송온누리약국,"서울특별시 양천구 목동중앙본로7길 45, 108호 (목동)"
성모약국,"서울특별시 강남구 개포로 516, 101호 (개포동)"
김약국,"서울특별시 양천구 지양로 75, (신월동)"
메디팜무지개약국,"서울특별시 강남구 논현로159길 10, 1층 일부호 (신사동)"
참좋은온누리약국,"서울특별시 강동구 성안로 156, (길동)"
극동약국,"서울특별시 송파구 동남로18길 9, (가락동, 극동아파트상가 104호)"
한양약국,"서울특별시 강남구 논현로176길 14, 3층 일부호 (신사동)"
강남제일약국,"서울특별시 강남구 테헤란로 139, (역삼동)"
다인약국,"서울특별시 서초구 남부순환로 2614, 311호 (양재동, 한솔로이젠트)"
